Sample,Locally Observable Interference,Manually Analyzed,Commit,Project,Class,Declaration,Build Manager,Original Version,Transformed Version,Original Without Dependencies Version,Additional Changes on Source Code
Roberto,Yes,Yes,3d4f99516ba3177f7d88a1f600923138a8b77cc8,https://github.com/richardwilly98/elasticsearch-river-mongodb,org.elasticsearch.river.mongodb.Slurper,assignCollections(),Maven,https://github.com/spgroup/mergedataset/tree/master/elasticsearch-river-mongodb/3d4f99516ba3177f7d88a1f600923138a8b77cc8/original,https://github.com/spgroup/mergedataset/tree/master/elasticsearch-river-mongodb/3d4f99516ba3177f7d88a1f600923138a8b77cc8/transformed,https://github.com/spgroup/mergedataset/tree/master/elasticsearch-river-mongodb/3d4f99516ba3177f7d88a1f600923138a8b77cc8/original-without-dependencies,No
Roberto,Yes,Yes,a44e18aa3c1fcd25a68a5965f9490d8f7d026509,https://github.com/jhy/jsoup,org.jsoup.nodes.TextNode,outerHtmlHead(StringBuilder| int| Document.OutputSettings),Maven,https://github.com/spgroup/mergedataset/tree/master/jsoup/a44e18aa3c1fcd25a68a5965f9490d8f7d026509/original,https://github.com/spgroup/mergedataset/tree/master/jsoup/a44e18aa3c1fcd25a68a5965f9490d8f7d026509/transformed,https://github.com/spgroup/mergedataset/tree/master/jsoup/a44e18aa3c1fcd25a68a5965f9490d8f7d026509/original-without-dependencies,No
Roberto,No,Yes,345ad9513aafff397050d613fa87ad06ddffe99d,https://github.com/Netflix/SimianArmy,com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext,getInstanceJanitor(),Gradle,https://github.com/spgroup/mergedataset/tree/master/SimianArmy/345ad9513aafff397050d613fa87ad06ddffe99d/original,https://github.com/spgroup/mergedataset/tree/master/SimianArmy/345ad9513aafff397050d613fa87ad06ddffe99d/transformed,https://github.com/spgroup/mergedataset/tree/master/SimianArmy/345ad9513aafff397050d613fa87ad06ddffe99d/original-without-dependencies,Yes
Roberto,Yes,Yes,50d8e43eb5917c63abfbcdec1e68e510943f325a,https://github.com/Activiti/Activiti,org.activiti.engine.impl.persistence.entity.DeploymentEntityManager,deleteDeployment(String| boolean),Maven,https://github.com/spgroup/mergedataset/tree/master/activiti/50d8e43eb5917c63abfbcdec1e68e510943f325a/original,https://github.com/spgroup/mergedataset/tree/master/activiti/50d8e43eb5917c63abfbcdec1e68e510943f325a/transformed,https://github.com/spgroup/mergedataset/tree/master/activiti/50d8e43eb5917c63abfbcdec1e68e510943f325a/original-without-dependencies,No
Roberto,No,Yes,05168808c278c080c59c19e858d9471b316cd1f5,https://github.com/metamx/druid,com.metamx.druid.loading.S3SegmentPusher,push(File| DataSegment),Maven,https://github.com/spgroup/mergedataset/tree/master/druid/05168808c278c080c59c19e858d9471b316cd1f5/original,https://github.com/spgroup/mergedataset/tree/master/druid/05168808c278c080c59c19e858d9471b316cd1f5/transformed,https://github.com/spgroup/mergedataset/tree/master/druid/05168808c278c080c59c19e858d9471b316cd1f5/original-without-dependencies,No
Roberto,Yes,Yes,193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b,https://github.com/netty/netty,org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder,decode(ChannelHandlerContext| Channel| ChannelBuffer),Maven,https://github.com/spgroup/mergedataset/tree/master/netty/193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b/original,https://github.com/spgroup/mergedataset/tree/master/netty/193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b/transformed,https://github.com/spgroup/mergedataset/tree/master/netty/193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b/original-without-dependencies,No
Roberto,Yes,Yes,4c506dce43775704919d084f0acfba86d251bf4a,https://github.com/opentripplanner/OpenTripPlanner,org.opentripplanner.routing.spt.MultiShortestPathTree,dominates(State| State),Maven,https://github.com/spgroup/mergedataset/tree/master/OpenTripPlanner/4c506dce43775704919d084f0acfba86d251bf4a/original,https://github.com/spgroup/mergedataset/tree/master/OpenTripPlanner/4c506dce43775704919d084f0acfba86d251bf4a/transformed,https://github.com/spgroup/mergedataset/tree/master/OpenTripPlanner/4c506dce43775704919d084f0acfba86d251bf4a/original-without-dependencies,No
Roberto,No,Yes,74d2d2b87704d003acacb34e4ca8fb5f897b938f,https://github.com/webbit/webbit,org.webbitserver.netty.WebSocketClient$HandshakeChannelHandler,adjustPipelineToWebSocket(ChannelHandlerContext| MessageEvent| ChannelHandler| ChannelHandler),Maven,https://github.com/spgroup/mergedataset/tree/master/webbit/74d2d2b87704d003acacb34e4ca8fb5f897b938f/original,https://github.com/spgroup/mergedataset/tree/master/webbit/74d2d2b87704d003acacb34e4ca8fb5f897b938f/transformed,https://github.com/spgroup/mergedataset/tree/master/webbit/74d2d2b87704d003acacb34e4ca8fb5f897b938f/original-without-dependencies,No
Roberto,No,Yes,6b09030e95e118a784ca7ec616398a4f0e384bcd,https://github.com/Netflix/eureka,com.netflix.appinfo.ApplicationInfoManager,constructor(),Gradle,https://github.com/spgroup/mergedataset/tree/master/eureka/6b09030e95e118a784ca7ec616398a4f0e384bcd/original,https://github.com/spgroup/mergedataset/tree/master/eureka/6b09030e95e118a784ca7ec616398a4f0e384bcd/transformed,https://github.com/spgroup/mergedataset/tree/master/eureka/6b09030e95e118a784ca7ec616398a4f0e384bcd/original-without-dependencies,Yes
Roberto,Yes,Yes,3f7d2c71dbbbb289c684f339874eed8ac2747fa0,https://github.com/jhy/jsoup,org.jsoup.helper.HttpConnection,execute(Connection.Request| Response),Maven,https://github.com/spgroup/mergedataset/tree/master/jsoup/3f7d2c71dbbbb289c684f339874eed8ac2747fa0/original,https://github.com/spgroup/mergedataset/tree/master/jsoup/3f7d2c71dbbbb289c684f339874eed8ac2747fa0/transformed,https://github.com/spgroup/mergedataset/tree/master/jsoup/3f7d2c71dbbbb289c684f339874eed8ac2747fa0/original-without-dependencies,No
Roberto,Yes,Yes,a8b6982de98ff76ef254031d7152fff57f6bf941,https://github.com/jhy/jsoup,org.jsoup.helper.HttpConnection,execute(Connection.Request| Response),Maven,https://github.com/spgroup/mergedataset/tree/master/jsoup/a8b6982de98ff76ef254031d7152fff57f6bf941/original,https://github.com/spgroup/mergedataset/tree/master/jsoup/a8b6982de98ff76ef254031d7152fff57f6bf941/transformed,https://github.com/spgroup/mergedataset/tree/master/jsoup/a8b6982de98ff76ef254031d7152fff57f6bf941/original-without-dependencies,No
Guilherme,Yes,Yes,867b917c43c32acbdcac55767e7f04334006c866,https://github.com/resty-gwt/resty-gwt,org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator,getMethodCallback(JMethod),Maven,https://github.com/spgroup/mergedataset/tree/master/resty-gwt/867b917c43c32acbdcac55767e7f04334006c866/original,https://github.com/spgroup/mergedataset/tree/master/resty-gwt/867b917c43c32acbdcac55767e7f04334006c866/transformed,https://github.com/spgroup/mergedataset/tree/master/resty-gwt/867b917c43c32acbdcac55767e7f04334006c866/original-without-dependencies,No
Leuson,Yes,Yes,ad2be678831b3b060229fd936e3908110162b7ac,https://github.com/Apache/Storm,org.apache.storm.kafka.spout.KafkaSpoutConfig,toString(),Maven,https://github.com/spgroup/mergedataset/tree/master/storm/ad2be678831b3b060229fd936e3908110162b7ac/original,https://github.com/spgroup/mergedataset/tree/master/storm/ad2be678831b3b060229fd936e3908110162b7ac/transformed,https://github.com/spgroup/mergedataset/tree/master/storm/ad2be678831b3b060229fd936e3908110162b7ac/original-without-dependencies,Yes
Guilherme,No,Yes,d96120f327107feb1ebb15e7c090dc38eeff72ca,https://github.com/jOOQ/jOOQ,org.jooq.impl.DSL,coalesce(Field<T>| T),Maven,https://github.com/spgroup/mergedataset/tree/master/jOOQ/d96120f327107feb1ebb15e7c090dc38eeff72ca/original,https://github.com/spgroup/mergedataset/tree/master/jOOQ/d96120f327107feb1ebb15e7c090dc38eeff72ca/transformed,,Yes
Roberto,No,Yes,ffc0c6e274094c6423e29d1c45bab1593b8fac7d,https://github.com/atmosphere/atmosphere,org.atmosphere.cpr.AtmosphereConfig,constructor(),Maven,https://github.com/spgroup/mergedataset/tree/master/atmosphere/ffc0c6e274094c6423e29d1c45bab1593b8fac7d/original,https://github.com/spgroup/mergedataset/tree/master/atmosphere/ffc0c6e274094c6423e29d1c45bab1593b8fac7d/transformed,https://github.com/spgroup/mergedataset/tree/master/atmosphere/ffc0c6e274094c6423e29d1c45bab1593b8fac7d/original-without-dependencies/,Yes
Guilherme,Yes,Yes,e825a7fdc6ef688f1253b93d2cb236e710acfc56,https://github.com/kongchen/swagger-maven-plugin,com.github.kongchen.swagger.docgen.reader.AbstractReader,hasValidAnnotations(List<Annotation>),Maven,https://github.com/spgroup/mergedataset/tree/master/swagger-maven-plugin/e825a7fdc6ef688f1253b93d2cb236e710acfc56/original,https://github.com/spgroup/mergedataset/tree/master/swagger-maven-plugin/e825a7fdc6ef688f1253b93d2cb236e710acfc56/transformed,https://github.com/spgroup/mergedataset/tree/master/swagger-maven-plugin/e825a7fdc6ef688f1253b93d2cb236e710acfc56/original-without-dependencies,No
